Source,Target,Type,RawWeight,Weight
1,2,Undirected,85,0
1,3,Undirected,99,0.0798332420894685
1,4,Undirected,127,0
1,5,Undirected,9,0
1,6,Undirected,83,0
1,7,Undirected,92,0
1,8,Undirected,117,0
1,9,Undirected,119,0
1,10,Undirected,39,0
1,11,Undirected,26,0
1,12,Undirected,18,0
1,13,Undirected,113,0
1,14,Undirected,110,0
1,15,Undirected,94,0
1,16,Undirected,89,0
1,17,Undirected,123,0
1,18,Undirected,37,0
1,19,Undirected,67,0
1,20,Undirected,78,0
2,3,Undirected,68,0
2,4,Undirected,115,0
2,5,Undirected,8,0
2,6,Undirected,80,0
2,7,Undirected,85,0
2,8,Undirected,101,0
2,9,Undirected,104,0
2,10,Undirected,38,0
2,11,Undirected,29,0.124000681886054
2,12,Undirected,16,0
2,13,Undirected,106,0
2,14,Undirected,104,0
2,15,Undirected,92,0
2,16,Undirected,83,0
2,17,Undirected,112,0
2,18,Undirected,42,0.137050354817194
2,19,Undirected,77,0.111973759443932
2,20,Undirected,89,0.122289563362533
3,4,Undirected,125,0
3,5,Undirected,8,0
3,6,Undirected,88,0
3,7,Undirected,92,0
3,8,Undirected,113,0
3,9,Undirected,115,0
3,10,Undirected,44,0
3,11,Undirected,26,0
3,12,Undirected,22,0.160352838909356
3,13,Undirected,104,0
3,14,Undirected,107,0
3,15,Undirected,88,0
3,16,Undirected,87,0
3,17,Undirected,121,0
3,18,Undirected,31,0
3,19,Undirected,70,0
3,20,Undirected,72,0
4,5,Undirected,11,0
4,6,Undirected,128,0
4,7,Undirected,143,0
4,8,Undirected,169,0
4,9,Undirected,168,0
4,10,Undirected,62,0
4,11,Undirected,37,0
4,12,Undirected,24,0
4,13,Undirected,159,0
4,14,Undirected,162,0
4,15,Undirected,135,0
4,16,Undirected,129,0
4,17,Undirected,181,0
4,18,Undirected,51,0
4,19,Undirected,98,0
4,20,Undirected,112,0
5,6,Undirected,8,0
5,7,Undirected,7,0
5,8,Undirected,10,0
5,9,Undirected,10,0
5,10,Undirected,7,0.2961433676598
5,11,Undirected,5,0.394726964557423
5,12,Undirected,4,0.485807433904755
5,13,Undirected,8,0
5,14,Undirected,11,0
5,15,Undirected,9,0
5,16,Undirected,9,0
5,17,Undirected,10,0
5,18,Undirected,6,0.326106591037243
5,19,Undirected,6,0
5,20,Undirected,9,0.161296342391251
6,7,Undirected,100,0
6,8,Undirected,116,0
6,9,Undirected,118,0
6,10,Undirected,46,0
6,11,Undirected,30,0
6,12,Undirected,16,0
6,13,Undirected,114,0
6,14,Undirected,114,0
6,15,Undirected,93,0
6,16,Undirected,91,0
6,17,Undirected,123,0
6,18,Undirected,32,0
6,19,Undirected,69,0
6,20,Undirected,76,0
7,8,Undirected,130,0
7,9,Undirected,127,0
7,10,Undirected,50,0
7,11,Undirected,27,0
7,12,Undirected,17,0
7,13,Undirected,118,0
7,14,Undirected,122,0
7,15,Undirected,105,0
7,16,Undirected,100,0
7,17,Undirected,137,0
7,18,Undirected,32,0
7,19,Undirected,71,0
7,20,Undirected,80,0
8,9,Undirected,154,0
8,10,Undirected,56,0
8,11,Undirected,31,0
8,12,Undirected,24,0
8,13,Undirected,141,0
8,14,Undirected,144,0
8,15,Undirected,117,0
8,16,Undirected,117,0
8,17,Undirected,162,0
8,18,Undirected,44,0
8,19,Undirected,89,0
8,20,Undirected,95,0
9,10,Undirected,58,0
9,11,Undirected,32,0
9,12,Undirected,23,0
9,13,Undirected,142,0
9,14,Undirected,140,0
9,15,Undirected,119,0
9,16,Undirected,116,0
9,17,Undirected,163,0
9,18,Undirected,47,0
9,19,Undirected,90,0
9,20,Undirected,97,0
10,11,Undirected,24,0.304447530448379
10,12,Undirected,9,0
10,13,Undirected,47,0
10,14,Undirected,54,0
10,15,Undirected,47,0
10,16,Undirected,55,0.108949061330926
10,17,Undirected,61,0
10,18,Undirected,19,0
10,19,Undirected,34,0
10,20,Undirected,34,0
11,12,Undirected,8,0.260028390659966
11,13,Undirected,28,0
11,14,Undirected,33,0
11,15,Undirected,30,0
11,16,Undirected,32,0.118447982732449
11,17,Undirected,36,0
11,18,Undirected,11,0
11,19,Undirected,25,0.130768280269024
11,20,Undirected,26,0
12,13,Undirected,19,0
12,14,Undirected,18,0
12,15,Undirected,18,0
12,16,Undirected,18,0
12,17,Undirected,24,0
12,18,Undirected,13,0.323080136407055
12,19,Undirected,14,0
12,20,Undirected,20,0.169265272062526
13,14,Undirected,139,0
13,15,Undirected,117,0
13,16,Undirected,108,0
13,17,Undirected,152,0
13,18,Undirected,48,0
13,19,Undirected,85,0
13,20,Undirected,97,0
14,15,Undirected,114,0
14,16,Undirected,108,0
14,17,Undirected,156,0
14,18,Undirected,49,0
14,19,Undirected,83,0
14,20,Undirected,97,0
15,16,Undirected,101,0
15,17,Undirected,131,0
15,18,Undirected,38,0
15,19,Undirected,73,0
15,20,Undirected,78,0
16,17,Undirected,124,0
16,18,Undirected,34,0
16,19,Undirected,68,0
16,20,Undirected,76,0
17,18,Undirected,51,0
17,19,Undirected,92,0
17,20,Undirected,105,0
18,19,Undirected,33,0.103540591907069
18,20,Undirected,42,0.155692464873252
19,20,Undirected,75,0.119186407719209
1,21,Undirected,62,0
1,22,Undirected,10,0
1,23,Undirected,25,0
1,24,Undirected,75,0.0887456752426393
1,25,Undirected,33,0
1,26,Undirected,22,0
1,27,Undirected,23,0.138162505186562
1,28,Undirected,18,0
1,29,Undirected,116,0
1,30,Undirected,61,0.101676588758854
4,21,Undirected,94,0
4,22,Undirected,11,0
4,23,Undirected,32,0
4,24,Undirected,92,0
4,25,Undirected,44,0
4,26,Undirected,25,0
4,27,Undirected,25,0
4,28,Undirected,38,0
4,29,Undirected,174,0
4,30,Undirected,74,0
3,21,Undirected,62,0
3,22,Undirected,9,0
3,23,Undirected,28,0.126785491263087
3,24,Undirected,65,0
3,25,Undirected,31,0
3,26,Undirected,21,0
3,27,Undirected,23,0.14489588784553
3,28,Undirected,19,0
3,29,Undirected,114,0
3,30,Undirected,56,0.0712681634132558
2,21,Undirected,63,0
2,22,Undirected,11,0.157253740905481
2,23,Undirected,18,0
2,24,Undirected,55,0
2,25,Undirected,36,0.123349077139806
2,26,Undirected,16,0
2,27,Undirected,13,0
2,28,Undirected,23,0
2,29,Undirected,112,0
2,30,Undirected,51,0
8,21,Undirected,92,0
8,22,Undirected,12,0
8,23,Undirected,30,0
8,24,Undirected,85,0
8,25,Undirected,36,0
8,26,Undirected,24,0
8,27,Undirected,23,0
8,28,Undirected,34,0
8,29,Undirected,155,0
8,30,Undirected,66,0
9,21,Undirected,86,0
9,22,Undirected,13,0
9,23,Undirected,30,0
9,24,Undirected,84,0
9,25,Undirected,37,0
9,26,Undirected,25,0
9,27,Undirected,24,0
9,28,Undirected,29,0
9,29,Undirected,157,0
9,30,Undirected,67,0
7,21,Undirected,80,0
21,22,Undirected,6,0
21,23,Undirected,19,0
17,21,Undirected,88,0
13,21,Undirected,77,0
14,21,Undirected,80,0
15,21,Undirected,71,0
21,24,Undirected,49,0
21,25,Undirected,23,0
21,26,Undirected,11,0
21,27,Undirected,11,0
21,28,Undirected,22,0
21,29,Undirected,91,0
19,21,Undirected,52,0
21,30,Undirected,41,0
20,21,Undirected,57,0
7,22,Undirected,9,0
7,23,Undirected,24,0
7,24,Undirected,70,0
7,25,Undirected,34,0
7,26,Undirected,22,0
7,27,Undirected,20,0
7,28,Undirected,29,0
7,29,Undirected,129,0
7,30,Undirected,58,0
22,23,Undirected,8,0.575984064253843
17,22,Undirected,11,0
13,22,Undirected,11,0
14,22,Undirected,11,0
15,22,Undirected,6,0
22,24,Undirected,8,0
22,25,Undirected,6,0.306801435841857
22,26,Undirected,6,0.538195503364443
22,27,Undirected,5,0.475404673504988
22,28,Undirected,1,0
22,29,Undirected,12,0
19,22,Undirected,4,0
22,30,Undirected,7,0
20,22,Undirected,7,0
17,23,Undirected,31,0
13,23,Undirected,28,0
14,23,Undirected,28,0
15,23,Undirected,23,0
23,24,Undirected,19,0
23,25,Undirected,11,0.165472283045387
23,26,Undirected,12,0.434654911457374
23,27,Undirected,17,0.602313002976192
23,28,Undirected,5,0
23,29,Undirected,29,0
19,23,Undirected,15,0
