,Source,Target,Type,RawWeight,Weight
1,1,2,Undirected,11,0
2,1,3,Undirected,28,0
3,1,4,Undirected,26,0
4,1,5,Undirected,19,0
5,1,6,Undirected,23,0
6,1,7,Undirected,21,0
7,1,8,Undirected,20,0
8,1,9,Undirected,14,0
9,1,10,Undirected,11,0
10,1,11,Undirected,2,0
11,1,12,Undirected,11,0
12,1,13,Undirected,21,0
13,1,14,Undirected,7,0
14,1,15,Undirected,24,0
15,1,16,Undirected,1,0
16,1,17,Undirected,6,0
17,1,18,Undirected,14,0
18,1,19,Undirected,25,0
19,1,20,Undirected,8,0
20,1,21,Undirected,18,0
21,1,22,Undirected,12,0
22,1,23,Undirected,4,0.253605345735843
23,2,3,Undirected,14,0
24,2,4,Undirected,13,0
25,2,5,Undirected,10,0
26,2,6,Undirected,10,0
27,2,7,Undirected,11,0
28,2,8,Undirected,10,0
29,2,9,Undirected,8,0
30,2,10,Undirected,4,0
31,2,11,Undirected,1,0
32,2,12,Undirected,10,0.189664066244955
33,2,13,Undirected,13,0
34,2,14,Undirected,4,0
35,2,15,Undirected,14,0
36,2,16,Undirected,1,0
37,2,17,Undirected,3,0
38,2,18,Undirected,7,0
39,2,19,Undirected,14,0
40,2,20,Undirected,7,0.315588715834906
41,2,21,Undirected,9,0
42,2,22,Undirected,9,0.165095874754218
43,2,23,Undirected,4,0.511883360978874
44,3,4,Undirected,45,0
45,3,5,Undirected,27,0
46,3,6,Undirected,36,0
47,3,7,Undirected,42,0
48,3,8,Undirected,38,0
49,3,9,Undirected,21,0
50,3,10,Undirected,18,0
51,3,11,Undirected,2,0
52,3,12,Undirected,19,0
53,3,13,Undirected,34,0
54,3,14,Undirected,15,0
55,3,15,Undirected,39,0
56,3,16,Undirected,2,0
57,3,17,Undirected,8,0
58,3,18,Undirected,27,0
59,3,19,Undirected,42,0
60,3,20,Undirected,10,0
61,3,21,Undirected,34,0
62,3,22,Undirected,19,0
63,3,23,Undirected,4,0
64,4,5,Undirected,25,0
65,4,6,Undirected,33,0
66,4,7,Undirected,37,0
67,4,8,Undirected,37,0
68,4,9,Undirected,18,0
69,4,10,Undirected,17,0
70,4,11,Undirected,2,0
71,4,12,Undirected,19,0
72,4,13,Undirected,30,0
73,4,14,Undirected,15,0
74,4,15,Undirected,36,0
75,4,16,Undirected,2,0
76,4,17,Undirected,8,0
77,4,18,Undirected,26,0
78,4,19,Undirected,39,0
79,4,20,Undirected,10,0
80,4,21,Undirected,30,0
81,4,22,Undirected,17,0
82,4,23,Undirected,3,0
83,5,6,Undirected,19,0
84,5,7,Undirected,23,0
85,5,8,Undirected,22,0
86,5,9,Undirected,12,0
87,5,10,Undirected,9,0
88,5,11,Undirected,2,0.26884531229258
89,5,12,Undirected,11,0
90,5,13,Undirected,19,0
91,5,14,Undirected,7,0
92,5,15,Undirected,22,0
93,5,16,Undirected,1,0
94,5,17,Undirected,4,0
95,5,18,Undirected,14,0
96,5,19,Undirected,25,0
97,5,20,Undirected,8,0
98,5,21,Undirected,21,0
99,5,22,Undirected,11,0
100,5,23,Undirected,2,0
101,6,7,Undirected,29,0
102,6,8,Undirected,27,0
103,6,9,Undirected,19,0
104,6,10,Undirected,14,0
105,6,11,Undirected,2,0
106,6,12,Undirected,13,0
107,6,13,Undirected,25,0
108,6,14,Undirected,12,0
109,6,15,Undirected,28,0
110,6,16,Undirected,1,0
111,6,17,Undirected,6,0
112,6,18,Undirected,20,0
113,6,19,Undirected,29,0
114,6,20,Undirected,8,0
115,6,21,Undirected,24,0
116,6,22,Undirected,15,0
117,6,23,Undirected,3,0
118,7,8,Undirected,34,0
119,7,9,Undirected,19,0
120,7,10,Undirected,17,0
121,7,11,Undirected,2,0
122,7,12,Undirected,14,0
123,7,13,Undirected,30,0
124,7,14,Undirected,13,0
125,7,15,Undirected,34,0
126,7,16,Undirected,2,0
127,7,17,Undirected,7,0
128,7,18,Undirected,26,0
129,7,19,Undirected,36,0
130,7,20,Undirected,8,0
131,7,21,Undirected,32,0
132,7,22,Undirected,16,0
133,7,23,Undirected,2,0
134,8,9,Undirected,16,0
135,8,10,Undirected,14,0
136,8,11,Undirected,2,0
137,8,12,Undirected,13,0
138,8,13,Undirected,25,0
139,8,14,Undirected,14,0
140,8,15,Undirected,28,0
141,8,16,Undirected,2,0
142,8,17,Undirected,8,0
143,8,18,Undirected,24,0
144,8,19,Undirected,34,0
145,8,20,Undirected,6,0
146,8,21,Undirected,28,0
147,8,22,Undirected,14,0
148,8,23,Undirected,2,0
149,9,10,Undirected,10,0
150,9,11,Undirected,1,0
151,9,12,Undirected,6,0
152,9,13,Undirected,16,0
153,9,14,Undirected,7,0
154,9,15,Undirected,15,0
155,9,16,Undirected,1,0
156,9,17,Undirected,3,0
157,9,18,Undirected,11,0
158,9,19,Undirected,19,0
159,9,20,Undirected,6,0
160,9,21,Undirected,16,0
161,9,22,Undirected,9,0
162,9,23,Undirected,1,0
163,10,11,Undirected,2,0.460730838531493
164,10,12,Undirected,5,0
165,10,13,Undirected,10,0
166,10,14,Undirected,7,0
167,10,15,Undirected,14,0
168,10,16,Undirected,2,0.460730838531493
169,10,17,Undirected,4,0
170,10,18,Undirected,9,0
171,10,19,Undirected,16,0
172,10,20,Undirected,3,0
173,10,21,Undirected,14,0
174,10,22,Undirected,4,0
175,10,23,Undirected,2,0
176,11,12,Undirected,1,0
177,11,13,Undirected,1,0
178,11,14,Undirected,1,0
179,11,15,Undirected,2,0
180,11,16,Undirected,1,1.11394335230684
181,11,17,Undirected,2,0.812913356642856
182,11,18,Undirected,1,0
183,11,19,Undirected,2,0
184,11,20,Undirected,1,0.373580662812593
185,11,21,Undirected,2,0
186,11,22,Undirected,1,0
187,11,23,Undirected,1,0.812913356642856
188,12,13,Undirected,16,0
189,12,14,Undirected,3,0
