Source,Target,Type,RawWeight,Weight
1,2,Undirected,40,-0.0178408284968302
1,3,Undirected,50,0.00564026735269266
1,4,Undirected,48,0.00765555858801819
1,5,Undirected,18,-0.0520164465076901
1,6,Undirected,17,-4.82163733276644e-17
1,7,Undirected,47,0.0465199052192343
1,8,Undirected,46,0.0428570118567815
1,9,Undirected,19,-0.0513982336176715
1,10,Undirected,35,-0.0338682739309809
1,11,Undirected,14,-0.0700804465854256
1,12,Undirected,13,-0.0875418731361206
1,13,Undirected,2,-0.137027236216039
1,14,Undirected,41,0.0476218264749079
1,15,Undirected,8,-0.0664461619303316
1,16,Undirected,23,-0.000608681924308831
1,17,Undirected,45,0.000311433847625747
1,18,Undirected,3,-0.0401172232079825
1,19,Undirected,4,0.0178747237697043
1,20,Undirected,3,0.135974035847699
1,21,Undirected,30,-0.0253939663872761
1,22,Undirected,44,-0.00411956993646357
1,23,Undirected,35,0.0196509817955073
2,3,Undirected,73,-0.00325029304572524
2,4,Undirected,70,-0.00173105495616714
2,5,Undirected,28,-0.033374336451632
2,6,Undirected,28,0.0434656937810903
2,7,Undirected,60,-0.0206701185156945
2,8,Undirected,64,0.0130357379762396
2,9,Undirected,32,0.0017547275665505
2,10,Undirected,57,0.00469512120837987
2,11,Undirected,26,0.0255214495242993
2,12,Undirected,25,0.0232113670462253
2,13,Undirected,4,-0.00924065673491268
2,14,Undirected,53,-0.0141295768268936
2,15,Undirected,14,0.0033484705731079
2,16,Undirected,32,-0.0304299558048507
2,17,Undirected,68,0.00636441659566337
2,18,Undirected,5,0.00848811022551889
2,19,Undirected,7,0.0876693562731437
2,20,Undirected,3,-0.0372693803351562
2,21,Undirected,47,-0.00366077935407604
2,22,Undirected,66,-0.00127172706363725
2,23,Undirected,50,0.00130952559839557
3,4,Undirected,83,-0.00117991975288357
3,5,Undirected,35,-0.00989324060210907
3,6,Undirected,29,-0.0147232568207063
3,7,Undirected,75,0.00281097733382844
3,8,Undirected,74,0.00265856656479504
3,9,Undirected,38,0.00295942870492118
3,10,Undirected,68,0.00790026108359124
3,11,Undirected,30,0.0142404391146102
