Source,Target,Type,RawWeight,Weight
1,2,Undirected,40,0
1,3,Undirected,50,0
1,4,Undirected,48,0
1,5,Undirected,18,0
1,6,Undirected,17,0
1,7,Undirected,47,0
1,8,Undirected,46,0
1,9,Undirected,19,0
1,10,Undirected,35,0
1,11,Undirected,14,0
1,12,Undirected,13,0
1,13,Undirected,2,0
1,14,Undirected,41,0
1,15,Undirected,8,0
1,16,Undirected,23,0
1,17,Undirected,45,0
1,18,Undirected,3,0
1,19,Undirected,4,0
1,20,Undirected,3,0
1,21,Undirected,30,0
1,22,Undirected,44,0
1,23,Undirected,35,0
2,3,Undirected,39,0
2,4,Undirected,38,0
2,5,Undirected,11,0
2,6,Undirected,15,0
2,7,Undirected,36,0
2,8,Undirected,37,0
2,9,Undirected,15,0
2,10,Undirected,29,0
2,11,Undirected,11,0
2,12,Undirected,12,0
2,13,Undirected,1,0
2,14,Undirected,30,0
2,15,Undirected,6,0
2,16,Undirected,18,0
2,17,Undirected,36,0
2,18,Undirected,2,0
2,19,Undirected,4,0
2,20,Undirected,3,0
2,21,Undirected,24,0
2,22,Undirected,34,0
2,23,Undirected,28,0
3,4,Undirected,47,0
3,5,Undirected,18,0
3,6,Undirected,16,0
3,7,Undirected,46,0
3,8,Undirected,45,0
3,9,Undirected,19,0
3,10,Undirected,35,0
3,11,Undirected,14,0
3,12,Undirected,13,0
3,13,Undirected,2,0
3,14,Undirected,41,0
3,15,Undirected,8,0
3,16,Undirected,23,0
3,17,Undirected,44,0
3,18,Undirected,3,0
3,19,Undirected,4,0
3,20,Undirected,3,0
3,21,Undirected,29,0
3,22,Undirected,43,0
3,23,Undirected,35,0
4,5,Undirected,15,0
4,6,Undirected,16,0
4,7,Undirected,45,0
4,8,Undirected,44,0
4,9,Undirected,18,0
4,10,Undirected,33,0
4,11,Undirected,12,0
4,12,Undirected,12,0
4,13,Undirected,2,0
4,14,Undirected,38,0
4,15,Undirected,8,0
4,16,Undirected,23,0
4,17,Undirected,43,0
4,18,Undirected,3,0
4,19,Undirected,3,0
4,20,Undirected,3,0
4,21,Undirected,29,0
4,22,Undirected,41,0
4,23,Undirected,35,0
5,6,Undirected,5,0
5,7,Undirected,17,0
5,8,Undirected,16,0
5,9,Undirected,9,0
5,10,Undirected,13,0
5,11,Undirected,5,0
5,12,Undirected,4,0
5,13,Undirected,1,0
5,14,Undirected,18,0
5,15,Undirected,4,0
5,16,Undirected,11,0
5,17,Undirected,16,0
5,18,Undirected,3,0.45229767099463
5,19,Undirected,3,0.32735893438633
5,20,Undirected,1,0
5,21,Undirected,10,0
5,22,Undirected,17,0
5,23,Undirected,13,0
6,7,Undirected,17,0
6,8,Undirected,16,0
6,9,Undirected,9,0
6,10,Undirected,11,0
6,11,Undirected,6,0
6,12,Undirected,4,0
6,13,Undirected,2,0.477121254719662
6,14,Undirected,11,0
6,15,Undirected,3,0
6,16,Undirected,8,0
6,17,Undirected,14,0
6,18,Undirected,1,0
6,19,Undirected,3,0.352182518111362
6,20,Undirected,3,0.477121254719662
6,21,Undirected,6,0
6,22,Undirected,15,0
6,23,Undirected,13,0
7,8,Undirected,42,0
7,9,Undirected,18,0
7,10,Undirected,32,0
7,11,Undirected,13,0
7,12,Undirected,12,0
7,13,Undirected,2,0
7,14,Undirected,37,0
7,15,Undirected,7,0
7,16,Undirected,21,0
7,17,Undirected,42,0
7,18,Undirected,3,0
7,19,Undirected,4,0
7,20,Undirected,3,0
7,21,Undirected,27,0
7,22,Undirected,40,0
7,23,Undirected,35,0
8,9,Undirected,17,0
8,10,Undirected,34,0
8,11,Undirected,11,0
8,12,Undirected,11,0
8,13,Undirected,2,0
8,14,Undirected,37,0
8,15,Undirected,8,0
8,16,Undirected,21,0
8,17,Undirected,41,0
8,18,Undirected,3,0
8,19,Undirected,4,0
8,20,Undirected,3,0
8,21,Undirected,26,0
8,22,Undirected,39,0
8,23,Undirected,31,0
9,10,Undirected,14,0
9,11,Undirected,2,0
9,12,Undirected,7,0
9,13,Undirected,1,0
9,14,Undirected,15,0
9,15,Undirected,6,0.303877838536807
9,16,Undirected,9,0
9,17,Undirected,15,0
9,18,Undirected,1,0
9,19,Undirected,3,0.303877838536807
9,20,Undirected,2,0
9,21,Undirected,11,0
9,22,Undirected,17,0
9,23,Undirected,14,0
10,11,Undirected,10,0
10,12,Undirected,10,0
10,13,Undirected,1,0
10,14,Undirected,30,0
10,15,Undirected,7,0
10,16,Undirected,17,0
10,17,Undirected,32,0
10,18,Undirected,2,0
10,19,Undirected,4,0
10,20,Undirected,3,0
10,21,Undirected,22,0
10,22,Undirected,29,0
10,23,Undirected,25,0
11,12,Undirected,4,0
11,13,Undirected,2,0.561442140419698
11,14,Undirected,12,0
11,15,Undirected,2,0
11,16,Undirected,6,0
11,17,Undirected,13,0
11,18,Undirected,1,0
11,19,Undirected,3,0.436503403811398
11,20,Undirected,2,0.385350881364017
11,21,Undirected,7,0
11,22,Undirected,11,0
11,23,Undirected,10,0
12,13,Undirected,1,0.292596828127118
12,14,Undirected,8,0
12,15,Undirected,2,0
12,16,Undirected,3,0
12,17,Undirected,11,0
12,18,Undirected,1,0
12,19,Undirected,1,0
12,20,Undirected,1,0
12,21,Undirected,10,0
12,22,Undirected,9,0
12,23,Undirected,9,0
13,14,Undirected,2,0
13,15,Undirected,1,0.503450193442012
13,16,Undirected,1,0
13,17,Undirected,1,0
13,18,Undirected,1,0.929418925714293
13,19,Undirected,1,0.804480189105993
13,20,Undirected,1,0.929418925714293
13,21,Undirected,1,0
13,22,Undirected,2,0
13,23,Undirected,2,0
14,15,Undirected,8,0
14,16,Undirected,22,0
14,17,Undirected,37,0
14,18,Undirected,3,0
14,19,Undirected,4,0
14,20,Undirected,3,0
14,21,Undirected,25,0
14,22,Undirected,38,0
14,23,Undirected,29,0
15,16,Undirected,4,0
15,17,Undirected,7,0
15,18,Undirected,1,0.32735893438633
15,19,Undirected,2,0.503450193442012
15,20,Undirected,2,0.628388930050311
15,21,Undirected,6,0
15,22,Undirected,8,0
15,23,Undirected,6,0
16,17,Undirected,22,0
16,18,Undirected,3,0.345842340080343
16,19,Undirected,2,0
16,20,Undirected,1,0
16,21,Undirected,14,0
16,22,Undirected,21,0
16,23,Undirected,17,0
17,18,Undirected,3,0
17,19,Undirected,4,0
17,20,Undirected,3,0
17,21,Undirected,27,0
17,22,Undirected,38,0
17,23,Undirected,30,0
18,19,Undirected,1,0.628388930050311
18,20,Undirected,1,0.753327666658611
18,21,Undirected,3,0
18,22,Undirected,2,0
18,23,Undirected,2,0
19,20,Undirected,2,0.929418925714293
19,21,Undirected,3,0
19,22,Undirected,4,0
19,23,Undirected,3,0
20,21,Undirected,2,0
20,22,Undirected,3,0
20,23,Undirected,3,0
21,22,Undirected,24,0
21,23,Undirected,18,0
22,23,Undirected,31,0
1,24,Undirected,31,0
1,25,Undirected,10,0
1,26,Undirected,28,0
1,27,Undirected,21,0
1,28,Undirected,36,0
1,29,Undirected,31,0
1,30,Undirected,10,0
1,31,Undirected,6,0
1,32,Undirected,9,0
1,33,Undirected,22,0
2,24,Undirected,25,0
2,25,Undirected,7,0
2,26,Undirected,21,0
2,27,Undirected,16,0
2,28,Undirected,28,0
2,29,Undirected,26,0
2,30,Undirected,8,0
2,31,Undirected,6,0
2,32,Undirected,8,0
2,33,Undirected,16,0
4,24,Undirected,29,0
4,25,Undirected,10,0
4,26,Undirected,26,0
4,27,Undirected,20,0
4,28,Undirected,34,0
4,29,Undirected,29,0
4,30,Undirected,9,0
4,31,Undirected,5,0
4,32,Undirected,9,0
4,33,Undirected,20,0
3,24,Undirected,31,0
3,25,Undirected,10,0
3,26,Undirected,28,0
3,27,Undirected,20,0
3,28,Undirected,35,0
3,29,Undirected,30,0
3,30,Undirected,10,0
3,31,Undirected,6,0
3,32,Undirected,9,0
3,33,Undirected,22,0
24,25,Undirected,4,0
24,26,Undirected,17,0
8,24,Undirected,28,0
15,24,Undirected,5,0
24,27,Undirected,15,0
24,28,Undirected,22,0
24,29,Undirected,17,0
24,30,Undirected,8,0
17,24,Undirected,27,0
16,24,Undirected,11,0
21,24,Undirected,17,0
14,24,Undirected,24,0
24,31,Undirected,3,0
22,24,Undirected,26,0
24,32,Undirected,5,0
24,33,Undirected,11,0
25,26,Undirected,5,0
8,25,Undirected,10,0
15,25,Undirected,3,0.281601443825655
25,27,Undirected,4,0
25,28,Undirected,7,0
25,29,Undirected,8,0
25,30,Undirected,2,0
17,25,Undirected,9,0
16,25,Undirected,7,0.1909403800946
21,25,Undirected,6,0
14,25,Undirected,10,0
25,31,Undirected,3,0.406540180433955
22,25,Undirected,9,0
25,32,Undirected,3,0
25,33,Undirected,8,0.268237482267674
8,26,Undirected,25,0
15,26,Undirected,5,0
26,27,Undirected,11,0
26,28,Undirected,21,0
26,29,Undirected,18,0
26,30,Undirected,6,0
17,26,Undirected,24,0
16,26,Undirected,14,0
21,26,Undirected,18,0
14,26,Undirected,24,0
26,31,Undirected,4,0
22,26,Undirected,25,0
26,32,Undirected,6,0
26,33,Undirected,13,0
8,27,Undirected,18,0
8,28,Undirected,31,0
8,29,Undirected,28,0
8,30,Undirected,9,0
8,31,Undirected,6,0
8,32,Undirected,8,0
8,33,Undirected,21,0
15,27,Undirected,3,0
15,28,Undirected,5,0
15,29,Undirected,4,0
15,30,Undirected,2,0
15,31,Undirected,3,0.503450193442012
15,32,Undirected,3,0.32735893438633
15,33,Undirected,6,0.24020875866743
27,28,Undirected,16,0
27,29,Undirected,13,0
27,30,Undirected,4,0
17,27,Undirected,19,0
16,27,Undirected,10,0
21,27,Undirected,11,0
14,27,Undirected,19,0
27,31,Undirected,2,0
22,27,Undirected,20,0
27,32,Undirected,5,0
27,33,Undirected,10,0
28,29,Undirected,22,0
28,30,Undirected,8,0
17,28,Undirected,32,0
16,28,Undirected,14,0
21,28,Undirected,21,0
14,28,Undirected,29,0
28,31,Undirected,5,0
22,28,Undirected,31,0
28,32,Undirected,8,0
28,33,Undirected,15,0
29,30,Undirected,6,0
17,29,Undirected,26,0
16,29,Undirected,15,0
21,29,Undirected,18,0
14,29,Undirected,23,0
29,31,Undirected,3,0
22,29,Undirected,27,0
29,32,Undirected,7,0
29,33,Undirected,14,0
17,30,Undirected,8,0
16,30,Undirected,3,0
21,30,Undirected,5,0
14,30,Undirected,8,0
30,31,Undirected,1,0
22,30,Undirected,9,0
30,32,Undirected,3,0
30,33,Undirected,4,0
17,31,Undirected,5,0
17,32,Undirected,9,0
17,33,Undirected,19,0
16,31,Undirected,2,0
16,32,Undirected,7,0.236697870655276
16,33,Undirected,12,0
21,31,Undirected,5,0
21,32,Undirected,5,0
21,33,Undirected,11,0
14,31,Undirected,5,0
14,32,Undirected,7,0
14,33,Undirected,21,0
22,31,Undirected,5,0
31,32,Undirected,2,0.276206411938949
31,33,Undirected,5,0.285966249228105
22,32,Undirected,8,0
22,33,Undirected,21,0
32,33,Undirected,6,0.189056236220049
1,34,Undirected,9,0
1,35,Undirected,30,0
1,36,Undirected,9,0
1,37,Undirected,9,0
1,38,Undirected,4,0
1,39,Undirected,24,0
1,40,Undirected,9,0
1,41,Undirected,11,0
3,34,Undirected,8,0
3,35,Undirected,29,0
3,36,Undirected,9,0
3,37,Undirected,9,0
3,38,Undirected,4,0
3,39,Undirected,24,0
3,40,Undirected,9,0
3,41,Undirected,10,0
4,34,Undirected,9,0
4,35,Undirected,27,0
4,36,Undirected,9,0
4,37,Undirected,7,0
4,38,Undirected,4,0
4,39,Undirected,23,0
4,40,Undirected,8,0
4,41,Undirected,11,0
24,34,Undirected,5,0
10,24,Undirected,21,0
7,24,Undirected,27,0
24,35,Undirected,18,0
24,36,Undirected,7,0
24,37,Undirected,7,0
24,38,Undirected,4,0.216208482263664
24,39,Undirected,15,0
24,40,Undirected,7,0
24,41,Undirected,5,0
26,34,Undirected,5,0
10,34,Undirected,6,0
7,34,Undirected,9,0
8,34,Undirected,8,0
17,34,Undirected,9,0
14,34,Undirected,7,0
34,35,Undirected,8,0.179296398930893
34,36,Undirected,2,0
21,34,Undirected,6,0
34,37,Undirected,3,0.276206411938949
34,38,Undirected,2,0.45229767099463
16,34,Undirected,5,0
22,34,Undirected,9,0
34,39,Undirected,7,0.218214464961262
34,40,Undirected,2,0
34,41,Undirected,4,0.313994972828349
33,34,Undirected,7,0.256003025850662
10,26,Undirected,20,0
7,26,Undirected,24,0
26,35,Undirected,19,0
26,36,Undirected,7,0
26,37,Undirected,6,0
26,38,Undirected,2,0
26,39,Undirected,14,0
26,40,Undirected,5,0
26,41,Undirected,6,0
10,35,Undirected,21,0
10,36,Undirected,5,0
10,37,Undirected,6,0
10,38,Undirected,3,0
10,39,Undirected,18,0
10,40,Undirected,7,0
10,41,Undirected,7,0
10,33,Undirected,17,0
7,35,Undirected,28,0
7,36,Undirected,9,0
7,37,Undirected,8,0
7,38,Undirected,4,0
7,39,Undirected,22,0
7,40,Undirected,8,0
7,41,Undirected,11,0
7,33,Undirected,19,0
8,35,Undirected,28,0
8,36,Undirected,9,0
8,37,Undirected,8,0
8,38,Undirected,4,0
8,39,Undirected,23,0
8,40,Undirected,8,0
8,41,Undirected,10,0
17,35,Undirected,27,0
17,36,Undirected,7,0
17,37,Undirected,7,0
17,38,Undirected,4,0
17,39,Undirected,21,0
17,40,Undirected,9,0
17,41,Undirected,11,0
14,35,Undirected,24,0
14,36,Undirected,7,0
14,37,Undirected,8,0
14,38,Undirected,2,0
14,39,Undirected,19,0
14,40,Undirected,9,0
14,41,Undirected,10,0
35,36,Undirected,7,0
21,35,Undirected,20,0
35,37,Undirected,8,0.179296398930893
35,38,Undirected,2,0
16,35,Undirected,11,0
22,35,Undirected,26,0
35,39,Undirected,15,0
35,40,Undirected,6,0
35,41,Undirected,6,0
33,35,Undirected,12,0
21,36,Undirected,5,0
36,37,Undirected,5,0.498055161555305
36,38,Undirected,1,0
16,36,Undirected,3,0
22,36,Undirected,8,0
36,39,Undirected,6,0
36,40,Undirected,5,0.498055161555305
36,41,Undirected,1,0
33,36,Undirected,4,0
21,37,Undirected,5,0
21,38,Undirected,2,0
21,39,Undirected,14,0
21,40,Undirected,6,0
21,41,Undirected,7,0
37,38,Undirected,1,0
16,37,Undirected,2,0
22,37,Undirected,9,0
37,39,Undirected,5,0
37,40,Undirected,5,0.498055161555305
37,41,Undirected,1,0
33,37,Undirected,3,0
16,38,Undirected,2,0
22,38,Undirected,2,0
38,39,Undirected,3,0
38,40,Undirected,1,0
38,41,Undirected,2,0.36514749527573
33,38,Undirected,2,0
16,39,Undirected,11,0
16,40,Undirected,4,0
16,41,Undirected,8,0.207539641914062
22,39,Undirected,21,0
22,40,Undirected,9,0
22,41,Undirected,9,0
39,40,Undirected,5,0
39,41,Undirected,5,0
33,39,Undirected,12,0
40,41,Undirected,1,0
33,40,Undirected,4,0
33,41,Undirected,7,0
1,42,Undirected,19,0
1,43,Undirected,3,0
2,35,Undirected,23,0
2,42,Undirected,14,0
2,41,Undirected,7,0
2,43,Undirected,1,0
4,42,Undirected,18,0
4,43,Undirected,3,0
3,42,Undirected,19,0
3,43,Undirected,3,0
12,24,Undirected,9,0
24,42,Undirected,12,0
23,24,Undirected,20,0
24,43,Undirected,2,0
7,28,Undirected,32,0
7,30,Undirected,8,0
7,42,Undirected,17,0
7,43,Undirected,3,0
12,26,Undirected,7,0
26,42,Undirected,13,0
23,26,Undirected,16,0
26,43,Undirected,3,0.260412144755717
12,28,Undirected,8,0
12,35,Undirected,8,0
12,30,Undirected,3,0
12,42,Undirected,4,0
12,41,Undirected,2,0
12,43,Undirected,2,0.417535564735418
10,28,Undirected,22,0
10,30,Undirected,6,0
10,42,Undirected,13,0
10,43,Undirected,2,0
8,42,Undirected,18,0
8,43,Undirected,3,0
28,35,Undirected,22,0
28,42,Undirected,15,0
23,28,Undirected,23,0
28,41,Undirected,8,0
28,43,Undirected,3,0
30,35,Undirected,8,0
35,42,Undirected,10,0
23,35,Undirected,16,0
35,43,Undirected,2,0
17,42,Undirected,13,0
17,43,Undirected,3,0
21,42,Undirected,7,0
21,43,Undirected,1,0
14,42,Undirected,14,0
14,43,Undirected,3,0
30,42,Undirected,4,0
23,30,Undirected,7,0
30,41,Undirected,2,0
30,43,Undirected,2,0.531478917042255
16,42,Undirected,8,0
23,42,Undirected,15,0
41,42,Undirected,5,0
42,43,Undirected,2,0
16,43,Undirected,1,0
23,41,Undirected,9,0
23,43,Undirected,3,0
41,43,Undirected,1,0
1,44,Undirected,18,0
4,44,Undirected,15,0
3,44,Undirected,18,0
5,26,Undirected,12,0
5,28,Undirected,14,0
5,29,Undirected,13,0
5,35,Undirected,10,0
5,36,Undirected,2,0
5,42,Undirected,8,0
5,39,Undirected,10,0
5,44,Undirected,10,0.197025165891324
5,33,Undirected,11,0.151267675330649
9,26,Undirected,12,0
26,44,Undirected,9,0
10,29,Undirected,20,0
10,44,Undirected,13,0
7,29,Undirected,28,0
7,44,Undirected,17,0
8,44,Undirected,17,0
9,28,Undirected,12,0
9,29,Undirected,15,0
9,35,Undirected,10,0
9,36,Undirected,4,0
9,42,Undirected,8,0
9,39,Undirected,12,0
9,44,Undirected,10,0.173544070041801
9,33,Undirected,10,0
28,36,Undirected,7,0
28,39,Undirected,17,0
28,44,Undirected,10,0
29,35,Undirected,18,0
29,36,Undirected,4,0
29,42,Undirected,12,0
29,39,Undirected,16,0
29,44,Undirected,13,0
23,29,Undirected,21,0
15,35,Undirected,5,0
15,36,Undirected,2,0
15,42,Undirected,3,0
15,39,Undirected,6,0.20242019777803
15,44,Undirected,6,0.32735893438633
35,44,Undirected,10,0
36,42,Undirected,6,0.252725316089426
36,44,Undirected,4,0
23,36,Undirected,5,0
22,42,Undirected,15,0
39,42,Undirected,10,0
42,44,Undirected,9,0
33,42,Undirected,10,0
21,44,Undirected,9,0
14,44,Undirected,16,0
22,44,Undirected,17,0
39,44,Undirected,11,0
23,39,Undirected,16,0
23,44,Undirected,13,0
33,44,Undirected,12,0.189056236220049
23,33,Undirected,15,0
1,45,Undirected,12,0
1,46,Undirected,4,0
1,47,Undirected,13,0
3,45,Undirected,12,0
3,46,Undirected,4,0
3,47,Undirected,13,0
4,45,Undirected,12,0
4,46,Undirected,4,0
4,47,Undirected,12,0
2,45,Undirected,12,0
2,46,Undirected,4,0
