Source,Target,Type,RawWeight,Weight
1,2,Undirected,38,0
1,3,Undirected,40,0
1,4,Undirected,36,0
1,5,Undirected,19,0
1,6,Undirected,8,0
1,7,Undirected,34,0
1,8,Undirected,20,0
1,9,Undirected,30,0
1,10,Undirected,34,0
1,11,Undirected,22,0
1,12,Undirected,37,0
1,13,Undirected,19,0
1,14,Undirected,28,0
1,15,Undirected,2,0
1,16,Undirected,8,0
1,17,Undirected,37,0
1,18,Undirected,10,0
1,19,Undirected,17,0
1,20,Undirected,12,0
1,21,Undirected,26,0
1,22,Undirected,9,0
1,23,Undirected,20,0
2,3,Undirected,36,0
2,4,Undirected,32,0
2,5,Undirected,15,0
2,6,Undirected,8,0
2,7,Undirected,31,0
2,8,Undirected,20,0
2,9,Undirected,29,0
2,10,Undirected,31,0
2,11,Undirected,19,0
2,12,Undirected,33,0
2,13,Undirected,18,0
2,14,Undirected,26,0
2,15,Undirected,2,0
2,16,Undirected,8,0
2,17,Undirected,33,0
2,18,Undirected,10,0
2,19,Undirected,16,0
2,20,Undirected,11,0
2,21,Undirected,25,0
2,22,Undirected,6,0
2,23,Undirected,16,0
3,4,Undirected,34,0
3,5,Undirected,17,0
3,6,Undirected,8,0
3,7,Undirected,33,0
3,8,Undirected,19,0
3,9,Undirected,29,0
3,10,Undirected,32,0
3,11,Undirected,21,0
3,12,Undirected,36,0
3,13,Undirected,19,0
3,14,Undirected,28,0
3,15,Undirected,1,0
3,16,Undirected,8,0
3,17,Undirected,35,0
3,18,Undirected,10,0
3,19,Undirected,16,0
3,20,Undirected,10,0
3,21,Undirected,25,0
3,22,Undirected,9,0
3,23,Undirected,18,0
4,5,Undirected,17,0
4,6,Undirected,7,0
4,7,Undirected,28,0
4,8,Undirected,17,0
4,9,Undirected,24,0
4,10,Undirected,29,0
4,11,Undirected,20,0
4,12,Undirected,32,0
4,13,Undirected,14,0
4,14,Undirected,23,0
4,15,Undirected,2,0
4,16,Undirected,6,0
4,17,Undirected,32,0
4,18,Undirected,8,0
4,19,Undirected,15,0
4,20,Undirected,11,0
4,21,Undirected,22,0
4,22,Undirected,7,0
4,23,Undirected,17,0
5,6,Undirected,6,0.219556952836772
5,7,Undirected,14,0
5,8,Undirected,8,0
5,9,Undirected,10,0
5,10,Undirected,16,0
5,11,Undirected,10,0
5,12,Undirected,16,0
5,13,Undirected,10,0
5,14,Undirected,14,0
5,15,Undirected,2,0.344495689445071
5,16,Undirected,5,0
5,17,Undirected,18,0
5,18,Undirected,4,0
5,19,Undirected,11,0.155439453225023
5,20,Undirected,9,0.219556952836772
5,21,Undirected,9,0
5,22,Undirected,7,0.235351220020003
5,23,Undirected,14,0.189593729459328
6,7,Undirected,7,0
6,8,Undirected,5,0
6,9,Undirected,6,0
6,10,Undirected,7,0
6,11,Undirected,5,0
6,12,Undirected,6,0
6,13,Undirected,4,0
6,14,Undirected,7,0
6,15,Undirected,1,0.419129307741976
